DFT,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7
0,-0.02,-0.27,0.41,-0.02,0.62,0.58,-0.02
0,0.42,-0.27,1.75,-0.18,-0.47,0.8,0.12
0,0.96,-0.21,-0.53,3,1.88,-0.08,-0.05
0,-0.06,-0.21,0.87,0.03,0.98,-0.08,-0.05
1,1.22,-0.27,3,0.01,0.44,0.14,0.04
0,1.25,-0.21,-0.06,2.95,1.52,-0.08,-0.05
0,0.83,-0.21,1.15,3,2.97,-0.08,-0.05
0,0.7,-0.21,0.89,0.27,1.34,-0.08,-0.05
1,1.09,-0.21,-0.46,0.04,-0.47,-0.08,-0.05
0,1.02,-0.16,0.24,0.35,2.97,-0.08,-0.05
0,3,-0.16,1.32,2.79,3,-0.08,-0.05
1,0.33,-0.27,0.85,-0.16,-0.1,1.46,-0.01
1,1.05,-0.21,0.26,-0.18,-0.1,-0.08,-0.05
0,-0.41,1.46,0.02,-0.2,-0.65,-0.08,-0.05
0,1.48,-0.16,-0.24,0.53,0.8,-0.08,-0.05
0,0.05,-0.16,-0.53,-0.14,-0.1,-0.08,-0.05
0,-0.58,3,-0.47,-0.2,-0.65,-0.08,-0.05
0,1.49,-0.16,-0.53,0.73,0.98,0.14,0.02
0,-0.26,-0.16,0.06,-0.13,-0.1,-0.08,-0.05
1,-0.1,0.18,0.17,-0.2,-0.65,-0.08,-0.05
0,1.35,-0.16,2.12,-0.04,0.44,0.14,0.01
0,1.06,-0.16,0.11,0.53,3,-0.08,-0.05
0,0.12,-0.16,0.03,0.03,-0.29,-0.08,-0.05
0,0.49,-0.16,0.57,1.39,1.34,-0.08,-0.05
0,0.8,-0.16,0.64,0.16,2.25,-0.08,-0.05
0,3,-0.21,1.69,1.17,2.97,0.14,-0.02
1,0.01,-0.27,0.88,-0.1,-0.47,0.14,0
1,1.19,-0.21,0.19,-0.08,-0.47,-0.08,-0.05
0,2.56,-0.21,3,0.56,1.16,0.14,-0.01
1,0.32,-0.16,0.6,-0.2,-0.65,-0.08,-0.05
0,-0.13,-0.21,-0.26,0.04,1.7,-0.08,-0.05
0,0.26,-0.21,-0.4,1.48,3,-0.08,-0.05
0,1.25,-0.21,2.39,2.32,3,-0.08,-0.05
0,1,-0.21,-0.5,3,0.26,-0.08,-0.05
0,0.32,-0.16,0.44,0.19,0.8,-0.08,-0.05
0,1.55,-0.21,1.14,2.41,1.34,-0.08,-0.05
0,1.58,-0.16,2.7,0.3,3,-0.08,-0.05
0,3,-0.05,3,2.14,0.44,0.14,0.09
0,0.46,-0.16,-0.5,0.03,0.98,-0.08,-0.05
1,1.85,-0.27,1.85,0.37,3,0.14,0.09
0,1.78,-0.21,-0.53,3,2.97,-0.08,-0.05
0,0.22,-0.16,0.18,-0.08,0.26,-0.08,-0.05
1,-0.78,3,-0.53,-0.2,-0.65,-0.08,-0.05
0,3,-0.16,0.39,3,3,-0.08,-0.05
0,0.12,-0.21,0.7,0.13,3,0.36,-0.02
0,1.65,-0.21,1.62,-0.2,-0.65,-0.08,-0.05
0,1.08,-0.16,0.09,0.62,2.61,-0.08,-0.05
0,2.98,-0.21,1.64,-0.14,-0.1,-0.08,-0.05
0,0.71,-0.05,1.63,0.03,2.25,-0.08,-0.05
0,-0.08,-0.16,-0.17,-0.06,-0.1,-0.08,-0.05
1,0.21,-0.21,0.42,-0.2,-0.65,-0.08,-0.05
1,1.95,-0.27,1.5,-0.11,0.26,0.14,0.04
0,3,-0.16,3,0.21,2.25,-0.08,-0.05
0,1.13,-0.21,-0.21,-0.14,-0.47,-0.08,-0.05
0,0.47,-0.16,2.78,0.26,2.43,-0.08,-0.05
0,-0.19,-0.16,-0.48,-0.13,-0.29,-0.08,-0.05
0,0.04,-0.16,-0.2,0.05,0.8,-0.08,-0.05
1,0.38,-0.16,2.05,-0.11,0.44,0.14,-0.02
0,0.72,-0.16,0.79,1.21,2.43,-0.08,-0.05
0,0.7,-0.16,1.33,0.12,3,-0.08,-0.05
1,0.15,-0.21,0.63,-0.19,-0.1,3,0.63
0,0.72,-0.16,2.34,1.72,3,-0.08,-0.05
0,1.1,-0.16,3,0.32,0.8,0.58,-0.02
1,-0.02,-0.21,-0.31,-0.2,-0.65,1.24,0.36
0,1.74,-0.16,-0.53,0.3,3,-0.08,-0.05
1,-0.43,-0.21,-0.34,-0.2,-0.65,-0.08,-0.05
0,-0.78,3,-0.53,-0.2,-0.65,-0.08,-0.05
1,-0.29,-0.27,0.15,-0.11,1.16,0.14,-0.04
0,1.54,-0.16,2.34,0.41,2.79,-0.08,-0.05
0,2.04,-0.21,0.05,-0.2,-0.47,0.14,1.25
1,1.4,-0.27,0.12,-0.19,-0.1,0.14,0
0,3,1.23,-0.53,1.03,3,-0.08,-0.05
0,2.37,-0.21,1.63,3,1.34,-0.08,-0.05
0,2.14,-0.21,2.61,-0.2,-0.29,-0.08,-0.05
0,1.05,-0.21,-0.42,0.89,0.44,-0.08,-0.05
1,-0.27,-0.21,-0.53,-0.2,-0.65,-0.08,-0.05
0,-0.26,-0.21,0.79,-0.17,0.62,-0.08,-0.05
0,-0.75,3,-0.53,-0.2,-0.65,-0.08,-0.05
0,1.65,-0.21,0.05,3,1.7,-0.08,-0.05
0,1.23,-0.21,0.75,0,0.44,-0.08,-0.05
1,0.31,-0.27,0.75,-0.16,0.08,0.14,-0.03
1,2.09,-0.21,-0.38,-0.04,-0.29,-0.08,-0.05
1,2.21,-0.21,-0.27,-0.2,-0.29,-0.08,-0.05
0,3,0.01,-0.53,0.28,0.26,-0.08,-0.05
0,-0.12,-0.21,0.3,0.06,-0.1,-0.08,-0.05
1,-0.54,-0.21,-0.31,-0.2,-0.47,-0.08,-0.05
0,0.87,0.29,1.3,-0.2,-0.65,0.36,-0.01
0,0.6,-0.21,-0.12,0.08,0.8,-0.08,-0.05
0,0.23,-0.21,0.13,-0.2,-0.65,0.58,0.12
0,0.15,-0.21,-0.5,0.49,2.07,-0.08,-0.05
1,0.6,-0.27,0.35,0.04,0.44,0.14,0.02
0,1.54,-0.21,3,-0.05,-0.1,0.58,0.07
